seed,image,method,kept_tokens,accuracy
0,清晰,full,9,1.0
0,清晰,blind,4,0.889
0,清晰,degaware,4,1.0
0,清晰,random,4,1.0
0,低光x0.25,full,9,0.6
0,低光x0.25,blind,4,0.6
0,低光x0.25,degaware,4,0.662
0,低光x0.25,random,4,0.56
1,清晰,full,9,1.0
1,清晰,blind,4,0.671
1,清晰,degaware,4,0.982
1,清晰,random,4,0.964
1,低光x0.25,full,9,0.569
1,低光x0.25,blind,4,0.422
1,低光x0.25,degaware,4,0.547
1,低光x0.25,random,4,0.529
2,清晰,full,9,1.0
2,清晰,blind,4,0.667
2,清晰,degaware,4,1.0
2,清晰,random,4,0.991
2,低光x0.25,full,9,0.449
2,低光x0.25,blind,4,0.462
2,低光x0.25,degaware,4,0.333
2,低光x0.25,random,4,0.413
3,清晰,full,9,1.0
3,清晰,blind,4,0.653
3,清晰,degaware,4,1.0
3,清晰,random,4,0.987
3,低光x0.25,full,9,0.836
3,低光x0.25,blind,4,0.716
3,低光x0.25,degaware,4,0.667
3,低光x0.25,random,4,0.76
4,清晰,full,9,0.333
4,清晰,blind,4,0.333
4,清晰,degaware,4,0.333
4,清晰,random,4,0.333
4,低光x0.25,full,9,0.222
4,低光x0.25,blind,4,0.222
4,低光x0.25,degaware,4,0.276
4,低光x0.25,random,4,0.222
